Banner Ad Name,Click ID,Link/Button Clicked On,Link/Button URL,Datetime,State,Gender,Income Level
Banner 2 - Long,3592,Learn More,https://example.com/hide_banner_add,12/07/2024 10:30,Illinois,Male,Low
Banner 1 - Short,8982,Unsubscribe,https://example.com/hide_banner_add,11/07/2024 21:15,Florida,Undisclosed,High
Banner 2 - Long,7392,Learn More,https://example.com/hide_banner_add,11/07/2024 20:09,Texas,Undisclosed,Middle
Banner 1 - Short,2108,Unsubscribe,https://example.com/signup,05/07/2024 11:54,Illinois,Undisclosed,High
Banner 1 - Short,3637,Learn More,https://example.com/hide_banner_add,09/07/2024 19:55,New York,Male,High
Banner 2 - Long,8041,Sign Up,https://example.com/learn,28/07/2024 11:36,Texas,Male,Middle
Banner 1 - Short,8389,Sign Up,https://example.com/hide_banner_add,12/07/2024 03:01,New York,Female,Middle
Banner 1 - Short,7072,Learn More,https://example.com/signup,21/07/2024 12:51,Texas,Male,Low
Banner 2 - Long,3452,Unsubscribe,https://example.com/learn,25/07/2024 05:49,California,Undisclosed,High
Banner 1 - Short,9351,Unsubscribe,https://example.com/hide_banner_add,27/07/2024 20:35,Texas,Male,High
Banner 1 - Short,8861,Learn More,https://example.com/signup,25/07/2024 23:43,California,Female,High
Banner 1 - Short,3308,Learn More,https://example.com/signup,26/07/2024 02:00,California,Female,Low
Banner 1 - Short,7140,Unsubscribe,https://example.com/hide_banner_add,18/07/2024 20:28,Illinois,Male,Middle
Banner 1 - Short,9882,Learn More,https://example.com/hide_banner_add,29/07/2024 04:56,California,Undisclosed,Middle
Banner 2 - Long,3875,Unsubscribe,https://example.com/learn,14/07/2024 08:20,New York,Undisclosed,Middle
Banner 2 - Long,4104,Learn More,https://example.com/signup,03/07/2024 05:30,New York,Female,Middle
Banner 1 - Short,1838,Learn More,https://example.com/signup,25/07/2024 02:21,Illinois,Male,High
Banner 2 - Long,1285,Unsubscribe,https://example.com/signup,22/07/2024 06:50,Texas,Male,Middle
Banner 2 - Long,7836,Sign Up,https://example.com/learn,29/07/2024 23:43,California,Undisclosed,High
Banner 2 - Long,6339,Unsubscribe,https://example.com/hide_banner_add,27/07/2024 08:02,Illinois,Male,High
Banner 2 - Long,4523,Unsubscribe,https://example.com/hide_banner_add,22/07/2024 23:31,California,Female,Middle
Banner 1 - Short,8997,Sign Up,https://example.com/hide_banner_add,18/07/2024 16:59,New York,Female,High
Banner 1 - Short,2748,Sign Up,https://example.com/hide_banner_add,01/07/2024 05:39,California,Male,Middle
Banner 2 - Long,1705,Sign Up,https://example.com/learn,18/07/2024 04:41,California,Male,High
Banner 2 - Long,4494,Learn More,https://example.com/hide_banner_add,20/07/2024 00:43,Illinois,Undisclosed,Low
Banner 2 - Long,2383,Unsubscribe,https://example.com/learn,17/07/2024 12:36,California,Female,High
Banner 1 - Short,4525,Sign Up,https://example.com/signup,06/07/2024 23:35,Florida,Undisclosed,High
Banner 1 - Short,6354,Unsubscribe,https://example.com/learn,15/07/2024 10:25,California,Undisclosed,Middle
Banner 2 - Long,4145,Sign Up,https://example.com/signup,21/07/2024 22:47,Florida,Undisclosed,High
Banner 2 - Long,6061,Learn More,https://example.com/hide_banner_add,29/07/2024 09:07,California,Male,Middle
Banner 2 - Long,5832,Learn More,https://example.com/hide_banner_add,12/07/2024 22:05,Texas,Male,Low
Banner 2 - Long,6499,Unsubscribe,https://example.com/learn,29/07/2024 23:20,California,Male,Middle
Banner 1 - Short,8896,Learn More,https://example.com/signup,15/07/2024 00:26,Florida,Undisclosed,High
Banner 1 - Short,4837,Sign Up,https://example.com/signup,23/07/2024 16:12,New York,Male,High
Banner 1 - Short,3957,Learn More,https://example.com/learn,12/07/2024 03:33,Florida,Male,Middle
Banner 2 - Long,3273,Learn More,https://example.com/learn,27/07/2024 01:42,Texas,Male,Middle
Banner 1 - Short,7803,Learn More,https://example.com/hide_banner_add,30/07/2024 11:09,Illinois,Undisclosed,High
Banner 2 - Long,1154,Unsubscribe,https://example.com/hide_banner_add,16/07/2024 15:16,California,Female,High
Banner 2 - Long,9376,Learn More,https://example.com/signup,23/07/2024 23:51,Illinois,Male,Low
Banner 2 - Long,7580,Sign Up,https://example.com/hide_banner_add,30/07/2024 00:15,Illinois,Female,Middle
Banner 1 - Short,5342,Sign Up,https://example.com/learn,04/07/2024 13:27,New York,Female,High
Banner 1 - Short,7817,Learn More,https://example.com/signup,30/07/2024 05:53,Illinois,Male,High
Banner 2 - Long,4387,Sign Up,https://example.com/hide_banner_add,19/07/2024 06:51,California,Female,Middle
Banner 2 - Long,1845,Sign Up,https://example.com/signup,29/07/2024 00:55,New York,Female,Middle
